연도,지역,원본행,세부사업명,주요내용,주요내용_정제,문자유사도,검토결과,검토근거
2021,충북,6254,청년일자리 평생교육사 모니터링단 운영,대상 : 인턴십 희망 청년 내용 : 청년평생교육 사대상 모니터링단 구축으로 커리아 개발 등을 위한 정보제공 프로그램 지원운영,대상 : 인턴십 희망 청년 내용 : 청년평생교육사 대상 모니터링단 구축으로 커리어 개발 등을 위한 정보제공 프로그램 지원운영,0.980769,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,인천,2142,50+세대 인생이모작 지원 사업 기반 조성,지원대상 : 장년층(50~65세 미만) 지원내용 : 50+세대의 특성을 반영한 사회공헌･교육 등 종합적인 지원체계 구축 등,지원대상 : 장년층(50~65세 미만) 지원내용 : 50+세대의 특성을 반영한 사회공헌·교육 등 종합적인 지원체계 구축 등,0.981481,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경기,4731,시흥시 인재양성재단,지원대상 : 시흥시 전시민 지원내용 : :장학사업 및 인재양성 사업,지원대상 : 시흥시 전시민 지원내용 : 장학사업 및 인재양성 사업,0.981818,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,광주,2489,토닥토닥 청년 일자리 카페 운영,"청년층에 대한 다양한 취,창업 지원 등을 위한 공간 및 프로그램 제공",청년층에 대한 다양한 취창업 지원 등을 위한 공간 및 프로그램 제공,0.981818,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경기,3939,보육교직원 장기근속수당 지원,"지원대상 : 평가인증(또는 평가제 A, B,c등급) 어린이집에서 2년 이상 근무하는 담임교사 및 원장 지원내용 : 월3~10만원지원","지원대상 : 평가인증(또는 평가제 A, B, C등급) 어린이집에서 2년 이상 근무하는 담임교사 및 원장 지원내용 : 월3~10만원지원",0.982759,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경남,9695,임신축하용품 지원,지원내용 : 보건소 모자보건실에서 임산부 등록 시 임신 축하용품을 지원,지원내용 : 보건소 모자보건실에서 임산부 등록 시 임신축하용품 지원,0.983051,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,서울,28,아동수당 지원 확대,"지원대상 : 만 7세 미만 아동 지원내용 : 매월25일10만원씩지급""",지원대상 : 만 7세 미만 아동 지원내용 : 매월25일10만원씩지급,0.983051,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,전남,8593,청년 취업활동수당 지급,"내용: 취, 창업 활동 경비 지원(월 50만원, 6개월, 생애 1회)","내용: 취업, 창업 활동 경비 지원(월 50만원, 6개월, 생애 1회)",0.983051,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,제주,10387,경력단절여성 등 재취업 지원 여성새로일하기센터 운영(3개소),"내용 : 혼인.임신.출산.욱아 등으로 경력이 단절된 여성에게 취업상담, 직업교육훈련, 인턴십 및 취업 후 사후관리 등 취업지원 서비스 제공","내용 : 혼인.임신.출산.육아 등으로 경력이 단절된 여성에게 취업상담, 직업교육훈련, 인턴십 및 취업 후 사후관리 등 취업지원 서비스 제공",0.983333,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경북,8778,생애초기 건강관리시범사업,"지원대상 : 인산부 및 만2세 미만 영아 가정 지원내용 : 전문인력 가정방문을 통해 건강상담, 발달상담, 양육교육 등 맞춤형 건강관리 서비스제공","지원대상 : 임산부 및 만2세 미만 영아 가정 지원내용 : 전문인력 가정방문을 통해 건강상담, 발달상담, 양육교육 등 맞춤형 건강관리 서비스제공",0.983607,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경남,9740,가정위탁지원사업,"지원대상 : 민18세 이하 요보호대상아동 지원내용 : 가정위탁 아동양육비 월 120,000원 지원, 가정위탁아동 부식비 월 30,000원지원","지원대상 : 만18세 이하 요보호대상아동 지원내용 : 가정위탁 아동양육비 월 120,000원 지원, 가정위탁아동 부식비 월 30,000원 지원",0.984127,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경남,10128,청년활동 네트워크 운영,지원내용 : 청년의 참여확대 및 청년 의견을 반영한 요자 중심의 청년체감형 정책발굴,지원내용 : 청년의 참여확대 및 청년 의견을 반영한 수요자 중심의 청년체감형 정책발굴,0.985915,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,전북,7624,산모신생아 건강관리 본인부담금 지원,지원대상 : 출생일 기준 1년전부터 고창군에 주소를 두고 거 준한 산모와 고창군에 출생신고한 신생아 지원내용 : 서비스기준 표준형범위 내의 본인부담금의 90%이 내 지원,지원대상 : 출생일 기준 1년전부터 고창군에 주소를 두고 거주한 산모와 고창군에 출생신고한 신생아 지원내용 : 서비스기준 표준형범위 내의 본인부담금의 90% 이내 지원,0.986111,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,충북,6293,취 창업 멘토링 프로그램,대상 : 도내미취창업청년 내용 : 미취업 청년에게 분야별 진로･취업･ 창업멘토링 지원,대상 : 도내 미취업 청년 내용 : 미취업 청년에게 분야별 진로･취업･창업멘토링 지원,0.986301,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경기,3867,평택시 출산･장려 지원금 지원,"지원내용 : 출생일 기준 평택시 1년 이상 거주시 지원, 첫째아50만원, 둘째아100만원, 셋쩨아200만원, 넷째이상300만원, 장애100~150만원 차등 지급","지원내용 : 출생일 기준 평택시 1년 이상 거주시 지원, 첫째아50만원, 둘째아100만원, 셋째아200만원, 넷째이상300만원, 장애100~150만원 차등 지급",0.986486,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,인천,2139,경로당 개보수,"지원대상 : 관내 경로당 154개소 지원내용 : 경로당 창호교체, 도배･장판 등 환경개선, 보일러, 싱크대, LED 조명 교체 등 노후시설 환경정비, 경로당 방수공사 등 노후시설 개보수","지원대상 : 관내 경로당 154개소 지원내용 : 경로당 창호교체, 도배·장판 등 환경개선, 보일러, 싱크대, LED 조명 교체 등 노후시설 환경정비, 경로당 방수공사 등 노후시설 개보수",0.987342,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,전북,7347,고위험임산부 의료비 지원,지원대상 : 기준중위소득 180%이하의 고위함 임신질환으로 진단 받고 입원치료 받은 임산부 지원내용 : 대표적 고위험 임신질환으로 입원치료 받은자의 입 원치료비 중 비급여 본인부담금 90%지원,지원대상 : 기준중위소득 180%이하의 고위험 임신질환으로 진단 받고 입원치료 받은 임산부 지원내용 : 대표적 고위험 임신질환으로 입원치료 받은자의 입원치료비 중 비급여 본인부담금 90%지원,0.988095,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경북,8957,출산축하포인트 지급,지원대상 : 2021년도 출생한 공무원 및 공무직 자녀 지원내용 : :복지포인트 자녀순서별 차등지급,지원대상 : 2021년도 출생한 공무원 및 공무직 자녀 지원내용 : 복지포인트 자녀순서별 차등지급,0.988235,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,대구,1415,청소년 산모 임신출산 의료비 지원,만 19세 이하 청소년 산모의 임신출 의료비 및 출생 1년 이내의 영유아 의료비 및 약제비 120만원 지원,만 19세 이하 청소년 산모의 임신출산 의료비 및 출생 1년 이내의 영유아 의료비 및 약제비 120만원 지원,0.988506,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경북,8946,정부미지원어린이집보육교사처 우개선비,"지원내용 : 정부미지원어린이집 보육교사 처우개선비 지원(1인/ 월 월50,000원~90,000원)","지원내용 : 정부미지원어린이집 보육교사 처우개선비 지원(1인/ 월 50,000원~90,000원)",0.989247,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,충남,7004,이동빨래차 운영지원,지원내용 : 거동불편 재가노인을 위하여 이동세탁차량을 이용 가정에 정기적 방문 이불. 의류 등 세탁서비스 제공,지원내용 : 거동불편 재가노인을 위하여 이동세탁차량을 이용 가정에 정기적 방문 이불 의류 등 세탁서비스 제공,0.989247,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,울산,2957,교재교구비 비원,지원대상 ; 20년 12월말 현재 설치운영 중인 어린이집 중 지원시점 현재 평가 인증이 유효하거나 평가제 평가등급이 B등급 이상인 어린이집 지원내용 : 개소당 평균 연100만원 이내(영유아 보육에 필요한 교재교구 구입),지원대상 : 20년 12월말 현재 설치운영 중인 어린이집 중 지원시점 현재 평가 인증이 유효하거나 평가제 평가등급이 B등급 이상인 어린이집 지원내용 : 개소당 평균 연100만원 이내(영유아 보육에 필요한 교재교구 구입),0.989362,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경기,3752,"지역사회 온정나눔, 「아기환영정책」 안착","지원내용 : 동, 행복 자연마을자치회, 새마을금고 4자간 업무협약으로 중동 관내 출생 신생아 축하금 및 저소득 다자녀가구 가정 장학금 지급","지원내용 : 동, 행복·자연마을자치회, 새마을금고 4자간 업무협약으로 중동 관내 출생 신생아 축하금 및 저소득 다자녀가구 가정 장학금 지급",0.991597,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,전북,7352,청소년 산모 임신.출산 의료비 지원 사업,"지원대상 : '임신확인서'로 임신이 확인된 만 19세 이하 청소 년산모 지원내용 : 임신 및 출산과 관련하여 진료받은 급여 또는 비 급여 의료비 중 본인부담금, 출생일로부터 1년이내의 영유아 가 요양기관에서 진료받은 급여 또는 비급여 의료비 및 처방 에 의한 약제, 치료재로 구입비용 중 본인부담 비용","지원대상 : '임신확인서'로 임신이 확인된 만 19세 이하 청소년산모 지원내용 : 임신 및 출산과 관련하여 진료받은 급여 또는 비급여 의료비 중 본인부담금, 출생일로부터 1년 이내의 영유아가 요양기관에서 진료받은 급여 또는 비급여 의료비 및 처방에 의한 약제, 치료재료 구입비용 중 본인부담 비용",0.992,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,전북,7506,신혼부부 전세자금 대출이자 지원,"지원대상 : 관내거주 무주택 신혼부부(6개월이상거주, 부부합 산 연소득 8천만원 이하 지원내용 : 주택전세자금대출 이자지원 대출잔액의 1%(최대1 백만원, 최장5년간)","지원대상 : 관내거주 무주택 신혼부부(6개월이상거주, 부부합산 연소득 8천만원 이하) 지원내용 : 주택전세자금대출 이자지원 대출잔액의 1%(최대1백만원, 최장5년간)",0.993464,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,전북,7535,출생축하금 지원,"내용: 부안군 출생아 출생축하금 지원 - 첫째아300만원(3년간4회분할지급) - 둘째아500만원(4년간5회분할지급) - 셋째아이상1,000만원(4년간5회분할지급","내용: 부안군 출생아 출생축하금 지원 - 첫째아300만원(3년간4회분할지급) - 둘째아500만원(4년간5회분할지급) - 셋째아이상1,000만원(4년간5회분할지급)",0.993711,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,전북,7585,산후조리비용 지원,"지원대상 : 군산시에 신생아의 출생등록을 한 산모로서, 신생 아의 출생일 이전에 1년 이상 군산시에 주민등록된 산모 지원내용 : 산후조리비용지원 (기초생활수급권자 산모100만원, 그 외산모 50만원)","지원대상 : 군산시에 신생아의 출생등록을 한 산모로서, 신생아 출생일 이전에 1년 이상 군산시에 주민등록된 산모 지원내용 : 산후조리비용지원 (기초생활수급권자 산모100만원, 그 외산모 50만원)",0.994286,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경기,4161,입양아동 입학축하,"지원대상 : 입양 신고일을 기준으로 6개월 이상 주민등록을 두 실제 거주하는 입양아동 중 초, 중, 고등학교 신입생을 양육하는 입양가구 지원내용 : 초등학교 신입생 200천원/중･고등학교 신입생 500천원","지원대상 : 입양 신고일을 기준으로 6개월 이상 주민등록을 두고 실제 거주하는 입양아동 중 초, 중, 고등학교 신입생을 양육하는 입양가구 지원내용 : 초등학교 신입생 200천원/중･고등학교 신입생 500천원",0.994413,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
