지역,원본행,세부사업명,주요내용,주요내용_정제
경북,6692.0,결혼이민여성 출산용품지원,다문화가정 출산용품 지원 150가구,"다문화가족 부부결혼식 비용 지원(세대당 2,700천원)"
경북,6693.0,행복한 출산힐링센터 운영 (임신에서육아까지),출산장려를 위한 힐링센터 운영,다문화가족 미취학자녀의 한글학습 능력 강화를 위해 월 29천원 한글학습비 지원
경북,6695.0,출산용품 및 출산양육품 지원사업,모든 출생아에게 10만원 상당의 기저귀 지원 • 출산양육금 지원,"원거리 결혼이민자 한국어교육, 사회적응 교육 등 서비스 제공"
경북,6696.0,임부 산전초음파검사비 지원사업,관내 임부로 보건(지)소 등록시 25천원 상당 초음파쿠폰 1회 지원,"지역주민, 다문화가족 다문화이해교육"
경북,6697.0,임부기형아검사비 지원사업,관내 임부로 보건(지)소 등록시 35천원 상당 기형아검사 쿠폰 1회 지원,"한국어교육, 사회적응교육, 생활상담 등"
경북,6698.0,임신축하용품 지원사업,5만원 상당 임신축하용품 지원,"첫째 30만원, 둘째 240만원, 셋째 480만원, 넷째이상 600만원"
경북,6699.0,아기튼튼 행복맘 프로그램 운영,"모유수유교실, 태교, 출산용품만들기 등","정부지원대상자외 고령산모, 쌍둥이 둘째아이상 출산가정에 약 45만원/인"
경북,6700.0,영유아 영양제 지원사업,"의료수급권자, 결혼이주여성, 다자녀가정 영유아 1통지원/년","임산부 등록관리, 건강교실 운영 등"
경북,6701.0,세자녀이상 가족진료비 지원,세자녀이상 가족 진료비 지급(50천원/연),로타바이러스 예방접종비 전액지원
경북,6703.0,한부모가족 아동양육비 지원,"한부모가정의 만12세 미만 아동에게 아동양육비(30,000원) 지원","임산부 기형아 검사(Trilple Test : AFP, HCG, UE3) *I52 둘째아 이상 임신한 산모대상 쿠폰발급"
경북,6704.0,어린이집 보육교사 복지증진,"명절복리후생비 1인당 120천원, 년 2회",임산부의 산전･산후관리를 체계적으로 지원 하여 안전하고 건강한 분만을 유도 하고 태아와 모성의 건강증진 도모
경북,6705.0,보육아동 간식비 지원,어린이집에 재원중인 아동간식비 지원 (월10천원/인),출산휴가(3개월)시부터 대체인력을 고용 하여 근로자의 부담감 경감
경북,6709.0,민간어린이집 연료비 지원,평가인증을 유지하고 있는 민간어린이집 연료비 지원 (년 1회 500천원/개소),노후 불량한 보육시설 환경개선
경북,6710.0,정부 미지원어린이집 보육교사 처우개선 지원,평가인증 참여보육교사 월90천원/인 • 평가인증 참여중인 보육교사 월50천원/인,급식이 필요한 아동에게 본인이 원하는 방법으로 식사를 제공
경북,6711.0,평가인증 어린이집 교재교구비 지원,평가인증 어린이집 교재교구비 지원(개소당 500천원),자기개발과 가족이 함께할 수 있는 기회 제공을 통하여 가족 친화적 사회분위기 조성
경북,6712.0,정부지원어린이집 교재교구비 지원,"국공립, 법인, 장애전담, 영아전담어린이집 교재교구비 지원(개소당 1,000천원)",다문화가정에 출산도우미 파견 출산 도우미 양성
경북,6714.0,다문화가족 합동결혼식,"다문화가족 부부결혼식 비용 지원(세대당 2,700천원)",셋째아 이상 출생아에 신생아 건강보험료 지원
경북,6715.0,다문화가족자녀 교육지원 사업,다문화가족 미취학자녀의 한글학습 능력 강화를 위해 월 29천원 한글학습비 지원,셋째아 이상 출생아에 출산축하금 지원
경북,6717.0,결혼이민여성 우리말 공부방 운영,"원거리 결혼이민자 한국어교육, 사회적응 교육 등 서비스 제공","셋째아 이상 출생아 출산축하금 지원(셋째 100만원, 넷째아 200만원, 다섯째 이상 300만원)"
경북,6718.0,결혼이민여성 다문화이해교육,"지역주민, 다문화가족 다문화이해교육",첫째아 출산장려 축하용품지원(2만원상당)
경북,6720.0,출산장려금 지원,"첫째 30만원, 둘째 240만원, 셋째 480만원, 넷째이상 600만원",셋째아 이상 출산가정 축하물품 지원 (약사회지원)
경북,6721.0,산모신생아건강관리사 예외 지원,"정부지원대상자외 고령산모, 쌍둥이 둘째아이상 출산가정에 약 45만원/인","셋째아 이상, 다문화 가정 산모한방쿠폰 지원(한의사회)"
경북,6724.0,출산장려금 지원,신생아 출생일 및 전입일 기준으로 보호자가 6개월 이상 우리시에 주민등록을 둔 신생아 및 24개월 미만 전입자에게 출산순위에 따라 차등 지원,"출산양육지원금 2,985명"
경북,6725.0,출생아 건강보험료 지원,"관내 주민등록을 둔 가정의 셋째아이상의 출생아 또는 셋째이상 입양아, 결혼이주여성의 출생아 출산장려금지급",셋째아 이상 신생아 건강보험료 지원(1인당 30천원)
경북,6726.0,기형아 검사비 지원,"임산부 기형아 검사(Trilple Test : AFP, HCG, UE3) *I52 둘째아 이상 임신한 산모대상 쿠폰발급","체험형보건교육(1개관 5개테마, 13개 콘텐츠 운영)"
경북,6730.0,임산부 및 영유아 등록관리,임산부의 산전･산후관리를 체계적으로 지원 하여 안전하고 건강한 분만을 유도 하고 태아와 모성의 건강증진 도모,다자녀 산모보약지원 40명
경북,6731.0,출산 및 육아휴직자 인력 대체실시,출산휴가(3개월)시부터 대체인력을 고용 하여 근로자의 부담감 경감,산모의 출산후 건강증진을 위한 건강식품 지원
경북,6732.0,보육시설 환경개선비 지원,노후 불량한 보육시설 환경개선,"아이사랑, 행복맘 건강교실 14회"
경북,6733.0,어려운 아동 중식지원,급식이 필요한 아동에게 본인이 원하는 방법으로 식사를 제공,출산장려 홍보 동판제작비 지원 : 5개 업체
경북,6738.0,셋째아 이상 출산축하금 지원,셋째아 이상 출생아에 출산축하금 지원,"북스타트 프로그램 운영, 연령별 책꾸러미 지원 : 239명"
경북,6739.0,셋째아이상 신생아 건강보험료 지원,셋째아 이상 출생아에 건강보험료 지원,아기주민증 발급 : 163건
경북,6740.0,셋째아이상 출산축하금 지원,"셋째아 이상 출생아 출산축하금 지원(셋째 100만원, 넷째아 200만원, 다섯째 이상 300만원)",임산부 힐링공간 마련 및 가족사랑 음악회
경북,6741.0,첫째아 출산장려 축하용품지원,첫째아 출산장려 축하용품지원(2만원상당),출산육아용품 구입 및 관리
경북,6743.0,출산가정 축하용품 지원(구급함),셋째아 이상 출산가정 축하물품 지원 (약사회지원),출산육아지원금 지원 - 첫째아 30만원(출생시 1회) - 둘째아 20만원 12개월 - 셋째아 30만원 24개월 - 넷째아 50만원 24개월 - 다섯째 이상 70만원 24개월
경북,6745.0,출생아 육아용품 지원(기저귀),"셋째아 이상 출산가정 육아용품 지원 (KT&G, 한자녀)",임신부 초음파검사비 3회 지원 - 보건소 등록 임신부
경북,6747.0,출산･양육지원금 지원,"출산양육지원금 2,985명",임산부 철분제 지원(임신4개월~분만까지) 영유아 정장제 지원(3개월~12개월)
경북,6751.0,출생아 건강보험료 지원사업,셋째아 이상 신생아 건강보험료 지원(1인당 30천원),임산부 및 영유아 대상 건강교실 10회실시
경북,6752.0,어린이 건강 자람 동산 운영,"체험형보건교육(1개관 5개테마, 13개 콘텐츠 운영)",출산장려금 및 셋째아 이상 건강보험료 지원
경북,6753.0,다자녀 산모 보약지원 사업,다자녀 산모보약지원 40명,"영아 내의류 지급, 임부 초음파, 산전기형아 검사 수수료 지원, 임산부 영양제 지원, 임산부 교실 운영 등"
경북,6754.0,MOU체결업체 다자녀 건강식품 지원,산모의 출산후 건강증진을 위한 건강식품 지원,"출생아 건강보험료 지원 : 3,566명"
경북,6755.0,아이사랑! 행복 맘! 건강교실,"아이사랑, 행복맘 건강교실 14회","출산장려금 지원 : 2,560명"
경북,6756.0,출산장려 MOU체결업체 지원,출산장려 홍보 동판제작비 지원 : 5개 업체,"책꾸러미 배부 : 1,200명 • 북스타트교실 운영 : 12회"
경북,6757.0,임산부 무료 스케일링 사업,사전스케일링 및 구강보건교육,임신육아교실 운영 : 15회
경북,6761.0,북스타트 지원사업,"북스타트 프로그램 운영, 연령별 책꾸러미 지원 : 239명","대상 : 결혼 이민여성3 0명정도 내용 : 결혼 이민여성에게 사회적응교육, 한국어 교육 실시"
경북,6762.0,아기 주민증 발급,아기주민증 발급 : 163건,대상 : 다문화가족 자녀 20명정도 내용 : 다문화가족 자녀에 대한 언어평가 및 교육
경북,6763.0,임산부의 날 태교음악회 및 숲체험 행사,임산부 힐링공간 마련 및 가족사랑 음악회,소년소녀가정 및 가정위탁아동지원금 (월15만원/1인)
경북,6764.0,출산 육아용품 알뜰시장 운영,출산육아용품 구입 및 관리,"첫째아, 둘째아(출생시 50만원, 돌50만원) • 셋째아 이상(첫돌 50만원)"
경북,6765.0,출생아건강보험금 지원,"출생아 건강보험금 지원(세자녀 이상, 결혼이민자 가정 자녀)",다자녀가정 셋째아 이상 출생시 만5세 이하까지 월 20만원씩 지급
경북,6766.0,출산육아 지원금지원 사업,출산육아지원금 지원 - 첫째아 30만원(출생시 1회) - 둘째아 20만원 12개월 - 셋째아 30만원 24개월 - 넷째아 50만원 24개월 - 다섯째 이상 70만원 24개월,다자녀(셋째아 이상) 고교생 장학금 지원 • 다자녀(셋째아 이상)대학생 장학금 지원
경북,6767.0,출산축하용품 지원,"세자녀 이상, 결혼이민자, 기초수급자 가정 출산축하용품 지원",세자녀 이상 및 다문화 가정의 출생가정 기저귀 지원(5통)
경북,6768.0,임신부초음파검진비 지원,임신부 초음파검사비 3회 지원 - 보건소 등록 임신부,"출산, 육아용품 만들기 프로그램운영"
경북,6773.0,출산장려 영유아정장제 지원,임산부 철분제 지원(임신4개월~분만까지) 영유아 정장제 지원(3개월~12개월),오감놀이방운영 및 장난감 대여
경북,6774.0,임산부 및 영유아 건강교실,임산부 및 영유아 대상 건강교실 10회실시,아동 놀이공간 키즈카페 설치 운영
경북,6777.0,출생아건강보험료 지원,"출생아 건강보험료 지원 : 3,566명",출산육아용품대여
경북,6778.0,출산장려금지원,"출산장려금 지원 : 2,560명","영양교육 및 상담, 가정방문건강관리 등"
경북,6779.0,엄마랑 아가랑 함께하는 북스타트 사업,"책꾸러미 배부 : 1,200명 • 북스타트교실 운영 : 12회",신생아양육비 지원
경북,6780.0,임신육아교실 운영,임신육아교실 운영 : 15회,출생아 건강보험료 지원(5년간)
경북,6783.0,출산육아용품 대여 지원,출산육아용품 무료 대여,출생아 건강보험료 지원(5년간)
경북,6784.0,다문화가족의 안정적 정착을 위한 맞춤형 서비스 확대,"대상 : 결혼 이민여성3 0명정도 내용 : 결혼 이민여성에게 사회적응교육, 한국어 교육 실시","기형아 검사비, 초음파 검사비 지원"
경북,6785.0,다문화가족 자녀의 건강한 성장 및 글로벌 인재 육성,대상 : 다문화가족 자녀 20명정도 내용 : 다문화가족 자녀에 대한 언어평가 및 교육,임산부 및 영유아 건강교실 운영
경북,6786.0,어려운 아동 건전육성,소년소녀가정 및 가정위탁아동지원금 (월15만원/1인),임신･출산･양육관련 도서 및 용품대여
경북,6787.0,출산장려금 지원,"첫째아, 둘째아(출생시 50만원, 돌50만원) • 셋째아 이상(첫돌 50만원)",농어촌 총각결혼 필요자금 지원(1인 5백만원)
경북,6788.0,다자녀양육비 지원,다자녀가정 셋째아 이상 출생시 만5세 이하까지 월 20만원씩 지급,아기 인적사항 및 탄생 기록이 담긴 아기신분증 발급
경북,6790.0,출산･육아용품 지원,세자녀 이상 및 다문화 가정의 출생가정 기저귀 지원(5통),임산부 스케일링 시술비 지원
경북,6795.0,다문화 및 다자녀가정 첫돌사진촬영비 지원,첫돌맞이 사진촬영권 지원,"출생아 출산장려금 지원(첫째30만원, 둘째 210만원, 셋째 300만원)"
경북,6796.0,장난감대여소 및 오감놀이방 운영,오감놀이방운영 및 장난감 대여,신생아 보험료 지원(5년간)
경북,6797.0,키즈카페 설치 및 운영,아동 놀이공간 키즈카페 설치 운영,산후조리비용 지원(1인당 100만원 이내)
경북,6800.0,출산육아용품 알뜰시장 운영,출산육아용품대여,농촌총각 결혼자금 지원(1인 500만원)
경북,6801.0,임산부･영유아 건강플러스 사업,"영양교육 및 상담, 가정방문건강관리 등","임부 초음파 검사비 지원(1인당 3만원, 2회)"
경북,6803.0,출생아 건강보험료 지원,출생아 건강보험료 지원(5년간),임산부 요가교실 운영
경북,6804.0,사랑플러스(발달지연 영유아 특수치료),"언어치료, 미술심리치료 등 지원",영유아자녀(3개월~6세) 영양제 지급
경북,6805.0,영유아선택 예방접종비 지원,영유아 선택예방접종비용 전액 지원,"출산장려금지원 (첫째 50만원, 둘째 240만원, 셋째 360만원, 넷째이상 600만원)"
경북,6806.0,출산장려금지원,"출산축하금, 출산장려금, 초등학교 입학 축하금 지원","출생아 보험료 지원(3년 납입, 7년 보장)"
경북,6807.0,출생아건강보험료 지원,출생아 건강보험료 지원(5년간),방문학습지 교사가 주1회 가정방문하여 학습지도
경북,6811.0,농촌총각 결혼지원사업,농어촌 총각결혼 필요자금 지원(1인 5백만원),"아동학대 신고접수처리 및 사례판정위원회 개최, 사례관리"
경북,6816.0,출산장려금 지원,"출생아 출산장려금 지원(첫째30만원, 둘째 210만원, 셋째 300만원)",성주 공공도서관업무 협약을 통한 북스타트 운영
경북,6817.0,신생아 및 입양영아 건강보험료 지원,신생아 보험료 지원(5년간),가임기 여성 및 초기임부 엽산제 지원
경북,6821.0,산후조리비용 지원,산후조리비용 지원(1인당 100만원 이내),출산후 6개월 이내 임산부에게 3만원 상당의 출산축하 용품지원
경북,6824.0,농촌총각 결혼지원 사업,농촌총각 결혼자금 지원(1인 500만원),"고령, 다문화가족 임산부에게 13주 이후 종합영양제 2개월분 지원"
경북,6825.0,임부 초음파 검진비 지원 사업,"임부 초음파 검사비 지원(1인당 3만원, 2회)",다문화 가족 자녀학습 지원 및 교육프로그램 운영
경북,6828.0,영유아영양제 지원 사업,영유아자녀(3개월~6세) 영양제 지급,취약계층 영유아 영양제 지원
경북,6829.0,출산장려금 지원,"출산장려금지원 (첫째 50만원, 둘째 240만원, 셋째 360만원, 넷째이상 600만원)",가임기 여성교육 및 모유수유 클리닉 운영
경북,6830.0,출생아 건강보험료 지원,"출생아 보험료 지원(3년 납입, 7년 보장)",임부 무료 초음파검사비 지원
경북,6831.0,다문화가족 자녀교육 지원,방문학습지 교사가 주1회 가정방문하여 학습지도,예비부모에게 혈액 및 풍진검사 지원
경북,6833.0,엄마가 살기 좋은 도시 의료비 지원사업,"수술비, 입원비, 검사지 등 비급여분 (협약체결 병의원 부담)",셋째아 이상의 출생아 또는 셋째아 이상 12개월 미만의 입양아
경북,6834.0,어린이집 평가인증제 실시,어린이집 평가인증제 실시 (한국보육진흥원 평가인증사무국),쿠폰발급을 통한 임부 초음파검사비 지원(1인 20천원)
경북,6835.0,지역아동보호 전문기관 운영,"아동학대 신고접수처리 및 사례판정위원회 개최, 사례관리",쿠폰발급을 통한 임부 초음파검사비 지원(1인 21천원)
경북,6837.0,결혼이민여성가족 다문화 이해교육,"가족간 갈등해결기법, 타문화이해교육 등",관내 주소를둔 16~24주 임신부 기형아 검사비 지원
경북,6838.0,다문화가족 어울림 한마당,다문화가족 어울림한마당 개최,탠덤 질량분석기를 이용한 광범위 신생아 선별검사 52종 검사비 지원
경북,6841.0,가임기 여성 및 초기임부 엽산제 지원,가임기 여성 및 초기임부 엽산제 지원,관내 주소를 둔 12개월 미만의 둘째아 이상 출생아 및 태아에 대한 건강보장 보험료 지원
경북,6842.0,출산축하용품지원사업,출산후 6개월 이내 임산부에게 3만원 상당의 출산축하 용품지원,임신중 여성공무원 당직근무 배제
경북,6848.0,고령･다문화가족 임산부 영양제 지원,"고령, 다문화가족 임산부에게 13주 이후 종합영양제 2개월분 지원",구강검진 및 구강보건수첩 배부 등
경북,6849.0,결혼이민자가족 지원사업,다문화 가족 자녀학습 지원 및 교육프로그램 운영,이동치과버스로 해당학교 방문운영(주2회)
경북,6850.0,출산장려금지원,둘째아 이상 출산장려금 지원,관내 초등학교 4~5학년 14개교 참가
경북,6852.0,영유아영양제지원,취약계층 영유아 영양제 지원,250만원 이내의 왕복항공료 지원
경북,6857.0,출생아 건강보험료 지원,셋째아 이상의 출생아 또는 셋째아 이상 12개월 미만의 입양아,"문진 및 체외, 혈액, 심전도 등 41종 검사"
경북,6858.0,임부 초음파 검사비 지원,쿠폰발급을 통한 임부 초음파검사비 지원(1인 20천원),"임산부 산전･산후건강관리, 임산부 요가등"
경북,6859.0,교육프로그램운영,쿠폰발급을 통한 임부 초음파검사비 지원(1인 21천원),임산부 산전검사 및 가임기 여성 풍진검사 지원
경북,6860.0,출산축하기념품지원,"일회용기저귀, 바디용품세트 등 지원","임신 5개월, 8개월 초음파 검진비 지원"
경북,6861.0,태아기형아 검사비 지원,관내 주소를둔 16~24주 임신부 기형아 검사비 지원,임신부 엽산제 및 철분제 지원
경북,6862.0,선천성대사이상질환(52종) 검사지원,탠덤 질량분석기를 이용한 광범위 신생아 선별검사 52종 검사비 지원,관내 주민등록을 둔 둘째아 이상 출생아 출산장려금 지원
경북,6863.0,찾아가는 산부인과 운영지원,예천권병원 이동산부인과 진료팀 이동진료,"첫째 및 둘째아(월3만원,5년납) • 셋째아 이상(월10만원,5년납)"
경북,6865.0,출생아 건강보장보험 지원,관내 주소를 둔 12개월 미만의 둘째아 이상 출생아 및 태아에 대한 건강보장 보험료 지원,"구강검사, 구강보건교육, 치아홈메우기 등"
경북,6872.0,빵빵2080 생애주기별 (영유아) 구강보건,구강검진 및 구강보건수첩 배부 등,출산 3개월 전부터 울릉군내 주민등록을 두고 거주하는 출산가정
경북,6873.0,빵빵2080 충치없는 학교만들기,이동치과버스로 해당학교 방문운영(주2회),어버이날/노인의 날 행사 등
경북,6874.0,청소년 명륜교실 운영,관내 초등학교 4~5학년 14개교 참가,노인취업의 종합적인 지원체계 구축
경북,6876.0,다문화가족 모국방문 지원,250만원 이내의 왕복항공료 지원,봉사활동 용품구입비 지원
경북,6878.0,농촌총각 결혼지원,"국제결혼에 필요한 비용 지원(항공료, 각종 수수료, 결혼식 비용 등)",거점치매센터 운영비지원(3개소)
경북,6879.0,평생교육을 위한 주민교양강좌 운영,"풍수지리, 한지공예, 건강교육 등","치매서포터즈 및 검진사 양성(5,000명)"
경북,6881.0,결혼이주여성 건강검진지원,"문진 및 체외, 혈액, 심전도 등 41종 검사",거동불편 저소득 노인집에 식사 배달
경북,6883.0,임산부산전검사 및 가입기여성풍진 검사지원,임산부 산전검사 및 가임기 여성 풍진검사 지원,무의탁 독거노인에게 주1회 이상 건강음료 배달 및 생활근황 파악
경북,6884.0,임산부 초음파 검진비 지원,"임신 5개월, 8개월 초음파 검진비 지원",개인운영 노인주거복지시설 공공요금 지원
경북,6887.0,출생아 건강보험금 지원,"첫째 및 둘째아(월3만원,5년납) • 셋째아 이상(월10만원,5년납)","공공요금, 관리비, 연료비 등 지원"
경북,6888.0,출산육아용품 알뜰시장 운영,"임신, 출산, 양육관련 도서 및 CD 대여 등","노인복지관 증개축(2개소-포항, 경산)"
경북,6892.0,임산부철분제엽산제지원 및 신생아용품 지원 사업,"철분제, 엽산제 지원, 신생아용품지원",재가노인지원 서비스센터 운영지원 (43개소)
경북,6893.0,출산장려금 지원,출산3개월 전부터 울릉군내 주민등록을 두고 거주하는 출산가정,"농촌 노인맞춤형 건강관리, 취미생활 등 프로그램 운영지원"
경북,6904.0,거점치매센터 운영,거점치매센터 운영비지원(3개소),"농촌지역 여성대상 요양보호사, 한식조리사 등 전문자격 교육"
경북,6905.0,치매 서포터즈 활동지원,"치매서포터즈 및 검진사 양성(5,000명)","거동 불편 독거노인의 대형세탁물 수거 및 세탁, 배달"
경북,6906.0,대한노인회 사업비 지원,대한노인회 운영비 및 사업비 지원,"독거노인 및 생활관리사 휴대폰 1대 무상지원, 기본요금 제공"
경북,6909.0,무의탁노인 건강음료 배달 및 안부 묻기,무의탁 독거노인에게 주1회 이상 건강음료 배달 및 생활근황 파악,노인 일자리지원사업 참여자 인건비 및 부대경비 지출
경북,6910.0,개인운영 양로시설 공공요금 지원,개인운영 노인주거복지시설 공공요금 지원,100세 이상 어르신에게 장수시민증 수여
경북,6914.0,노인복지관 건립,"노인복지관 증개축(2개소-포항, 경산)",홀로사는 어르신과 자원봉사자간 행복의 사랑고리 자매결연
경북,6915.0,노인교실운영,"교재제작비, 강사비, 재료비 등",월2회 이동목욕차량을 이용한 목욕서비스 제공
경북,6917.0,경로당 활성화 물품지원,"도내 경로당에 필요한 물품지원(안전장비, 가전제품 등)",일평균 이용자수 20인 이상이고 주3회 이상 급식을 제공하는 급식시설 지원
경북,6918.0,재가노인복지시설 운영,재가노인지원 서비스센터 운영지원 (43개소),"심뇌혈관예방관리강화, 고혈압당뇨 자가 관리프로그램 등"
경북,6930.0,안심폰 지원사업,"독거노인 및 생활관리사 휴대폰 1대 무상지원, 기본요금 제공","1･3세대 통합 일일캠프운영(9월중) 대상 : 어린이집 40명, 선생님 40명"
경북,6931.0,경로당 장수 강좌 프로그램 운영,순회 프로그램 관리사 인건비 및 활동비 지원,위촉인원 : 17명 • 치매쉼터프로그램 운영보조 등
경북,6932.0,경로당 물품 지원사업,"TV, 냉장고, 에어컨 등 필요물품 지원",관내 경로당 방역소독 실시(연4회)
경북,6934.0,장수시민증 수여를 통한 경로효친사상 양양,100세 이상 어르신에게 장수시민증 수여,읍면별로 자치대학원(노인대학) 운영
경북,6935.0,치매예방 프로그램 운영사업,"뇌기능, 근기능, 일상생활 동작가능검사를 통한 맞춤형 건강설계",순회 프로그램 관리자 인건비 및 활동비 (1명) 지원
경북,6938.0,행복의 사랑고리 사업,홀로사는 어르신과 자원봉사자간 행복의 사랑고리 자매결연,노인대학운영(1개소)
경북,6939.0,이동목욕사업,월2회 이동목욕차량을 이용한 목욕서비스 제공,"모범경로당 시상, 전기안전점검 등"
경북,6940.0,새로훈 효문화 장착을 위한 정책추진,각종 기념행사 개최 및 효행관련 포상,노인복지관 운영(3개소)
경북,6941.0,경로식당 무료급식,일평균 이용자수 20인 이상 이고 주3회 이상 급식을 제공하는 급식시설 지원,경로당 신･증축 3개소
경북,6942.0,심뇌혈관질환 예방관리 교육 및 홍보,"심뇌혈관예방관리강화, 고혈압당뇨 자가 관리프로그램 등","경로당 개보수25개소, 재래식 화장실 개선 (23개소)"
경북,6943.0,아름다운노년 장수 드림사업,"고혈압, 당뇨, 이상지질혈증 환자 관리 등",대상:8개소 • 인지기능 악화예방 및 개선프로그램 제공
경북,6947.0,대한노인회 문경시지회 운영지원,"정기총회, 노인게이트볼대회 등 지원","특별연료비, 냉방시설 설치 (연료비 300천원, 냉방시설 1,700천원)"
경북,6954.0,1･3세대 통합 일일캠프 추진,"1･3세대 통합 일일캠프운영(9월중) 대상 : 어린이집 40명, 선생님 40명","경로당 건강체조, 노래, 민요, 공예프로그램 등 운영"
경북,6955.0,노노(老老)돌보미 운영,위촉인원 : 17명 • 치매쉼터프로그램 운영보조 등,경로당 공동급식비 지원(4개소)
경북,6956.0,경로단 방역소독 사업,관내 경로당 방역소독 실시(연4회),군수기 타기 게이트볼대회 및 한궁대회 등
경북,6957.0,경로효친사상 제고,어버이날/노인의 날 행사 등,가스안전차단기 100가구(1인당 75천원)
경북,6958.0,군위군 자치대학원 운영,읍면별로 자치대학원(노인대학) 운영,저소득 어르신 생신케이크 전달(205명) • 지역 어르신 기념사진 촬영
경북,6959.0,경로당 순회 프로그램 운영,순회 프로그램 관리자 인건비 및 활동비 (1명) 지원,"경로당 2개소, 교양, 건강, 체험프로그램 교육 등"
경북,6960.0,경로당 안전점검,등록 경로당 전기설비 안전점검 및 화재 보험 가입,타지역 화장장을 고령군민이 이용할 경우 그 지역주민이 부담하는 화장장사용료를 제외한 비용의 50% 지원
경북,6963.0,경로당운영,"모범경로당 시상, 전기안전점검 등",타지역 화장장을 고령군민이 이용할 경우 그 지역주민이 부담하는 화장장사용료를 제외한 비용의 50% 지원
경북,6964.0,노인복지관 운영,노인복지관 운영(3개소),"어르신 문화대학, 건강증진실, 바둑실 등"
경북,6965.0,경로당신축,경로당 신･증축 3개소,"사회복지학, 아동가족학, 청소년학, 심리학 전공과 운영"
경북,6966.0,경로당 개보수,"경로당 개보수25개소, 재래식 화장실 개선 (23개소)","경로당 한방진료, 건강검진 등(341개소)"
경북,6967.0,치매관리사업,대상:8개소 • 인지기능 악화예방 및 개선프로그램 제공,어르신 운동동호회운영 및 건강축제 등
경북,6968.0,경로당 운영 및 난방비 지원,"특별연료비, 냉방시설 설치 (연료비 300천원, 냉방시설 1,700천원)",경로당 환경개선사업 60개소
경북,6974.0,경로당 순회프로그램 관리자 배치사업,순회프로그램관리자 인건비 및 활동비지원,65세이상 주민 무료진료 서비스 제공
경북,6975.0,경로효친 실천분위기 조성,각종행사 개최 및 효행과려 포상,50세이상 주민 및 기초생활수급자 인플루엔자 무료 예방접종
경북,6976.0,대한노인회 영양군지회운영 지원,대한노인회 영양군지회운영지원,"경로당 이용 60세 이상 어르신, 노인체조 요가, 관절염예방 및 스트레칭 등"
경북,6977.0,영덕군노인회 사업비 지원,"게이트볼대회참석, 각종행사참가, 노인의 날 행사, 할매할배의 날 운영 등",노인목욕비 및 이미용지원 사업 협약 업소 이용권지급(분기별 6매)
경북,6978.0,경로당 순회프로그램 운영,"경로당 건강체조, 노래, 민요, 공예프로그램 등 운영",경상북도 출산･육아지원 협의회 개최(3회)
경북,6981.0,저소득 독거노인 가스안전차단기 설치,가스안전차단기 100가구(1인당 75천원),지역사회 인프라 활용 출산장려 홍보물 제작 • 지역주민대상 교육홍보 등
경북,6982.0,저소득노인지원,저소득 어르신 생신케이크 전달(205명) • 지역 어르신 기념사진 촬영,대학교 교양과목 개설(행복한 삶과 가족)
경북,6983.0,찾아가는 어르신 행복프로그램,"경로당 2개소, 교양, 건강, 체험프로그램 교육 등","인구관련 기념일 및 시군축제시 대대적 캠페인 전개, 홍보부스 설치"
경북,6984.0,화장장려금 지원,타지역 화장장을 고령군민이 이용할 경우 그 지역주민이 부담하는 화장장사용료를 제외한 비용의 50% 지원,도 저출산고령사회 위원회 구성 등
경북,6985.0,노인행사지원,"노인의 날 기념식, 초청공연 등",포항시에 주소를 둔 미혼남녀(2회 개최)
경북,6986.0,노인회관 운영지원,노인회관 운영비 지원(1개소),"인구의날 기념식, 문화행사 등"
경북,6987.0,성주군 화장 장려금 지원,타지역 화장장을 고령군민이 이용할 경우 그 지역주민이 부담하는 화장장사용료를 제외한 비용의 50% 지원,"출산장려 포스터, UCC 공모전 개최"
경북,6988.0,노인복지회관 관리,"어르신 문화대학, 건강증진실, 바둑실 등",제11회 임산부의 날 기념행사 개최
경북,6990.0,경로당 방문(한방진료) 운영,"경로당 한방진료, 건강검진 등(341개소)","언론기관, 반상회보, 월간지 등을 이용한 출산장려 분위기 조성을 위한 홍보물게재"
경북,6992.0,경로당 순회프로그램 운영,경로당 프로그램 활성화 지원 및 관리자 인건비 지원,아빠의 바람직한 육아참여 교육(1회)
경북,6993.0,경로당 환경개선사업,경로당 환경개선사업 60개소,"TV, 케이블TV, 라디오 홍보 등"
경북,6994.0,건강한 마을 만들기 운영,"스트레칭 및 건강체조, 건강 측정 등",다둥이 가족사랑 행사(50세 이하 4자녀 이상을 둔 가정) • 저출산 극복 릴레이 캠페인 및 홍보부스 운영
경북,6999.0,65세이상 노인 무료진료 서비스,65세이상 주민 무료진료 서비스 제공,"인구의 날 기념식, 출산장려 공모전 개최"
경북,7000.0,인플루엔자 무료접종 사업,50세이상 주민 및 기초생활수급자 인플루엔자 무료 예방접종,"공무원, 고등학생, 일반시민 대상 인구교육"
경북,7001.0,어르신 장수체조 운영,"경로당 이용 60세 이상 어르신, 노인체조 요가, 관절염예방 및 스트레칭 등",출산장려 홍보관 운영 및 캠페인 등
경북,7002.0,노인목욕비 및 이미용비 지원사업,노인목욕비 및 이미용지원 사업 협약 업소 이용권지급(분기별 6매),"출산과 양육에 대한 사회책임 강화교육 캠페인, 홍보 등"
